Game Completed Date,User ID,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region,Game Code
2020-12-13 01:26:56,1,Crewmate,Win,3.0,No,Yes,,424,No,2.0,,++,NA , WYMSBF
2020-12-13 01:17:42,1,Crewmate,Loss,7.0,Yes,No,,981,No,1.0,09m 48s,--,NA , WYMSBF
2020-12-13 00:57:47,1,Crewmate,Win,3.0,No,No,,693,No,0.0,,++,NA , WYMSBF
2020-12-13 00:41:55,1,Imposter,Win,,,,2.0,485,No,,,+++,Europe , QIRTNF
2020-12-13 00:30:37,1,Crewmate,Loss,4.0,No,No,,310,No,0.0,,---,Europe , QIRTNF
2020-12-13 00:24:20,1,Crewmate,Loss,7.0,Yes,Yes,,982,No,0.0,12m 16s,--,Europe , QIRTNF
2020-12-13 00:00:39,1,Crewmate,Loss,8.0,Yes,Yes,,1301,No,1.0,18m 38s,--,Europe , MTKPVF
2020-12-11 16:15:08,1,Crewmate,Win,8.0,Yes,No,,1123,Yes,0.0,07m 48s,++,Europe , BFRJCF
2020-12-11 15:49:33,1,Crewmate,Win,7.0,Yes,Yes,,795,No,0.0,13m 15s,++,Europe , BFRJCF
2020-12-11 15:30:36,1,Crewmate,Loss,7.0,Yes,Yes,,763,No,0.0,12m 43s,--,Europe , BFRJCF
2020-12-11 15:10:58,1,Crewmate,Win,4.0,No,Yes,,660,No,0.0,,++,Europe , BFRJCF
2020-12-11 14:53:28,1,Crewmate,Win,7.0,Yes,No,,1063,No,0.0,11m 59s,++,Europe , BFRJCF
2020-12-11 14:20:38,1,Crewmate,Loss,6.0,No,Yes,,826,No,0.0,,---,Europe , ONSJWQ
2020-12-11 14:04:26,1,Imposter,Loss,,,,3.0,952,Yes,,,-,Europe , ONSJWQ
2020-12-11 13:46:30,1,Crewmate,Win,7.0,Yes,Yes,,1134,No,1.0,11m 09s,++,Europe , ONSJWQ
2020-12-11 02:09:32,1,Crewmate,Loss,7.0,Yes,Yes,,480,No,0.0,01m 41s,--,NA , EYNONF
2020-12-11 02:00:26,1,Crewmate,Win,7.0,Yes,Yes,,1086,No,0.0,09m 34s,++,NA , EYNONF
2020-12-11 01:26:11,1,Crewmate,Win,7.0,Yes,Yes,,778,No,1.0,09m 03s,++,NA , EYNONF
2020-12-11 01:03:05,1,Crewmate,Win,7.0,Yes,Yes,,897,No,0.0,14m 50s,++,NA , EYNONF
2020-12-11 00:45:34,1,Crewmate,Loss,7.0,Yes,Yes,,663,No,0.0,10m 34s,--,NA , EYNONF
2020-12-11 00:29:51,1,Crewmate,Loss,2.0,No,Yes,,883,No,0.0,,---,NA , EYNONF
2020-12-11 00:09:02,1,Crewmate,Loss,3.0,No,Yes,,514,No,1.0,,---,NA , EYNONF
2020-12-10 23:59:38,1,Crewmate,Loss,8.0,Yes,No,,332,No,0.0,05m 32s,--,NA , EYNONF
2020-12-10 23:50:32,1,Crewmate,Win,8.0,Yes,Yes,,1004,No,0.0,14m 45s,++,NA , EYNONF
2020-12-10 23:31:47,1,Crewmate,Loss,8.0,Yes,Yes,,551,No,1.0,08m 29s,--,NA , EYNONF
2020-12-10 23:21:16,1,Crewmate,Loss,8.0,Yes,Yes,,890,No,0.0,05m 56s,--,NA , EYNONF
2020-12-10 23:03:55,1,Crewmate,Loss,8.0,Yes,Yes,,1069,No,0.0,17m 12s,--,NA , EYNONF
2020-12-10 22:41:43,1,Imposter,Loss,,,,2.0,1081,No,,,-,NA , EYNONF
2020-12-10 22:22:09,1,Crewmate,Win,8.0,Yes,Yes,,710,No,1.0,06m 00s,++,NA , EYNONF
