,bruises,cap-color,cap-radius,cap-shape,cap-surface,class,gill-attachment,gill-color,gill-size,gill-spacing,habitat,odor,population,ring-number,ring-radius,ring-type,spore-print-color,stalk-color-above-ring,stalk-color-below-ring,stalk-height,stalk-root,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color,veil-type
0,t,n,7.396151388,x,s,p,f,k,n,c,u,p,s,o,4.194024851,p,k,w,w,23.92086429,e,e,s,s,w,p
1,t,y,9.799904731,x,s,e,f,k,b,c,g,a,n,o,4.009982955,p,n,w,w,5.891308884,c,e,s,s,w,p
2,t,w,5.485274372999999,b,s,e,f,n,b,c,m,l,n,o,3.493207851,p,n,w,w,11.85798438,c,e,s,s,w,p
3,t,w,4.027128207,x,y,p,f,n,n,c,u,p,s,o,3.037990909,p,k,w,w,10.15368826,e,e,s,s,w,p
4,f,g,11.09170785,x,s,e,f,k,b,w,g,n,a,o,12.69311123,e,n,w,w,24.82047541,e,t,s,s,w,p
5,t,y,11.27530983,x,y,e,f,n,b,c,g,a,n,o,11.61090306,p,k,w,w,22.48386806,c,e,s,s,w,p
6,t,w,8.627471092,b,s,e,f,g,b,c,m,a,n,o,9.073503489,p,k,w,w,14.62851648,c,e,s,s,w,p
7,t,w,7.88775761,b,y,e,f,n,b,c,m,l,s,o,6.998205784,p,n,w,w,9.035077552999999,c,e,s,s,w,p
8,t,w,3.2362109739999996,x,y,p,f,p,n,c,g,p,v,o,13.97827422,p,k,w,w,20.17344919,e,e,s,s,w,p
9,t,y,5.185228884,b,s,e,f,g,b,c,m,a,s,o,3.113660036,p,k,w,w,8.61843285,c,e,s,s,w,p
10,t,y,5.561907917,x,y,e,f,g,b,c,g,l,n,o,5.220919199,p,n,w,w,19.45150588,c,e,s,s,w,p
11,t,y,9.529568523,x,y,e,f,n,b,c,m,a,s,o,4.531525316000001,p,k,w,w,2.873822648,c,e,s,s,w,p
12,t,y,8.755407343,b,s,e,f,w,b,c,g,a,s,o,9.675361949,p,n,w,w,6.370665753,c,e,s,s,w,p
13,t,w,,x,y,p,f,k,n,c,u,p,v,o,7.885991682999999,p,n,w,w,24.18227699,e,e,s,s,w,p
14,f,n,5.394154977,x,f,e,f,n,b,w,g,n,a,o,13.42494012,e,k,w,w,3.0903159889999996,e,t,s,f,w,p
15,f,g,5.790841263,s,f,e,f,k,n,c,u,n,y,o,3.892533545,p,n,w,w,10.993637800000002,e,e,s,s,w,p
16,f,w,11.85930524,f,f,e,f,k,b,w,g,n,a,o,8.38225951,e,n,w,w,13.86056622,e,t,s,s,w,p
17,t,n,3.365791086,x,s,p,f,n,n,c,g,p,s,o,12.04230295,p,k,w,w,24.63343271,e,e,s,s,w,p
18,t,w,1.522175007,x,y,p,f,n,n,c,u,p,s,o,5.300109974,p,n,w,w,6.207568374,e,e,s,s,w,p
19,t,n,10.78848323,x,s,p,f,k,n,c,u,p,s,o,13.1002534,p,n,w,w,2.5746883240000003,e,e,s,s,w,p
20,t,y,5.512223265,b,s,e,f,k,b,c,m,a,s,o,13.90373419,p,n,w,w,9.756277422,c,e,s,s,w,p
21,t,n,4.099139883,x,y,p,f,n,n,c,g,p,v,o,9.700649457,p,n,w,w,24.6459049,e,e,s,s,w,p
22,t,y,10.38008242,b,y,e,f,k,b,c,m,l,s,o,5.5874377289999995,p,n,w,w,20.04815512,c,e,s,s,w,p
